incident_county,incident_acres_burned,longitude,latitude
Shasta,37,-122.309,40.774
San Diego,122,1,1
Inyo,406,-118.01651,36.602575
San Bernardino,30,-116.941311,34.288877
Madera,274,-119.635004,37.116295
Tehama,6965,-121.595555,40.190062
Napa,75,-122.350844,38.441792
Sonoma,125,-122.655616,38.638828
Riverside,3166,-116.941311,34.288877
San Benito,354,-120.937494,37.160346
Glenn,217,-122.560862,39.514139
San Bernardino,75,-117.4408,34.1834
Riverside,510,-116.855019,33.894055
"Kern, Ventura",4346,-118.9411,34.7861
Riverside,40,-116.161201,33.655638
Los Angeles,712,-118.610044,34.49149
Madera,91,-119.7917,37.1927
San Luis Obispo,35,-120.91375,35.49864
Riverside,25,-116.907213,33.96201
Riverside,90,-116.6534,33.9582
San Joaquin,303,-120.90325,38.04993
San Diego,100,-116.900368,32.564465
San Diego,2781,-116.52579,33.12111
San Luis Obispo,50,-120.6368,35.5123
Riverside,124,-117.187934,33.963591
San Diego,1271,-116.5209,33.04458
Santa Barbara,1984,-119.82429,34.55048
Los Angeles,149,-118.58688,34.419284
Santa Barbara,170,-120.074655,34.611824
San Luis Obispo,500,-120.05131,35.15832
Tuolumne,100,-120.33313,37.91529
Butte,298,-121.576804,39.434183
Riverside,0,-116.84137,33.99647
"Sonoma, Solano, Lake, Colusa",28,-122.0437,38.4229
Merced,124,-121.006939,37.03776
Lake,30,-122.703193,38.99233
Los Angeles,30274,-118.423176,34.585595
Alameda,240,-121.737213,37.775057
Riverside,42,-117.1265,33.96936
Amador,96,-120.966016,38.27783
Madera,75,-119.75636,37.169379
Fresno,108,-119.628389,36.772425
Mariposa,1708,-119.91071,37.58202
Placer,237,-121.380862,38.729297
Fresno,35,-119.558244,36.763367
Riverside,40,-117.302057,34.001745
Madera,482,-119.78106,37.015575
Solano,124,-122.13802,38.08744
Fresno,46,-119.463757,37.03087
Fresno,150,-119.2248,36.7218
Lake,25,-122.81796,38.98058
San Bernardino,534,-117.048397,34.071556
Contra Costa,274,-121.74367,39.90465
Monterey,105,-120.8973,36.1531
Contra Costa,492,-121.91453,37.96866
Modoc,502,-121.035,41.2415
Tehama,200,-122.079871,40.012398
Alameda,50,-121.5869,37.7393
Alameda,38,-121.86216,37.74241
San Diego,7055,-116.47381,32.95435
San Luis Obispo,85,-120.83417,35.62743
Yuba,73,-121.31634,39.206
Shasta,43,-122.7338,40.373
El Dorado,572,-120.298,38.774
Santa Clara,50,-121.7804,37.1438
Stanislaus,150,-121.1955,37.436
Riverside,27531,-116.72885,33.7095
Humboldt,0,-123.376,41.333
San Bernardino,75,-117.352,34.316
San Diego,25,-116.707335,32.612773
Fresno,22992,-119.318,37.279
Siskiyou,14754,-123.176,41.32
Butte,92,-121.50354,39.6612
Riverside,150,-117.164997,33.990128
Riverside,60,-116.99895,33.91027
Kern,612,-118.93388,34.90327
Mendocino,45,-123.067671,38.980846
Kern,712,-118.9194,34.882
Tehama,195,-122.330879,39.961309
Sonoma,158,-122.51253,38.17693
"El Dorado, Sacramento",163,-121.08438,38.63987
Riverside,40,-117.2508,33.9634
Riverside,15,-117.09306,33.94528
Calaveras,31,-120.696362,37.965364
Tuolumne,1070,-120.02778,38.25108
Riverside,1383,-117.40288,33.62236
Riverside,60,-116.61,38.838
Lake,38,-122.5906,39.1591
Riverside,20292,-116.90427,33.86157
Humboldt,12503,-123.488,41.035
Siskiyou,50,-122.578393,41.923323
El Dorado,116,-120.839075,38.682378
San Bernardino,243,-117.62,34.35
Shasta,27,-122.48259,40.473356
Butte,2462,-121.38236,39.446268
Placer,27440,-120.65,39.12
Lassen,97,-120.958126,40.88886
Riverside,40,-116.10815,33.570291
Lake,70,-122.491894,39.013682
Calaveras,46,-120.45233,38.06231
San Bernardino,110,-117.451,34.287
Shasta,8073,-122.535496,40.498332
Plumas,513,-120.764666,40.00842
Kern,794,-118.588,35.707
Shasta,196,-121.3754,40.5445
San Bernardino,200,-117.417,34.2
Tehama,11429,-121.85397,40.04263
San Bernardino,413,-117.598,34.302
Tulare,2060,-118.444,36.208
El Dorado,38,-120.84716,38.89555
San Bernardino,97,-116.706,33.642
San Mateo,41,-122.427285,37.667295
Contra Costa,3111,-121.882582,37.90757
Tulare,134,-118.459,36.258
San Bernardino,73,-117.106075,34.003151
Los Angeles,268,-117.908,34.149
Modoc,97,-120.375,41.73325
Nevada,52,-121.107022,39.333401
Butte,80,-121.713938,39.731878
Modoc,68,-120.959,41.569
Tuolumne,257314,-120.086,37.857
San Diego,263,-116.746023,32.710918
Lake,30,-122.683,38.9777
San Luis Obispo,94,-120.8358,35.4393
Mendocino,98,-122.966,38.9252
Napa,376,-122.289,38.628
Sonoma,159,-122.6503,38.34599
San Diego,2236,-117.3092,33.341
Butte,305,-121.497,39.439
Orange,40,-117.6649,33.7655
Yolo,163,-122.08725,38.67479
Shasta,33,-122.140914,40.483662
San Luis Obispo,51,-120.751555,35.457978
Lake,120,-122.567525,38.882214
Napa,190,-122.311,38.382
Ventura,64,-119.13249,34.384
Mendocino,82,-123.1478,39.0442
Sonoma,3505,-122.8498,38.8167
Lake,50,-122.7656,39.0448
Lake,23,-122.5818,38.9289
Santa Clara,40,-121.717706,37.342186
Tehama,865,-121.790183,40.134597
Los Angeles,1952,-117.8816,34.1703
Humboldt,333,-123.773779,40.884415
Fresno,106,-119.3415,36.8266
San Diego,125,-116.49,32.81
Monterey,400,-121.4819,36.6313
Riverside,57,-116.1985,33.5982
Inyo,113,-118.352,37.399
San Bernardino,2143,-117.547374,34.169346
San Diego,29,-116.222,32.665
San Diego,1548,-117.133,33.003
Monterey,75,-121.117,36.103
Santa Barbara,632,-120.454,34.609
San Diego,5367,-117.284889,33.3529
San Diego,1457,-117.550567,33.417572
San Diego,380,-117.162,33.312
Shasta,50,-122.721,40.39
San Diego,1995,-117.1599,33.1137
San Diego,600,-117.279,33.1109
Lake,175,-122.5983,39.1647
Tuolumne,487,-120.45087,37.76617
Tuolumne,269,-120.452,37.787
Fresno,25,-119.241493,36.742747
Fresno,40,-119.525506,36.991825
Solano,70,38.453,121.999
Mariposa,130,-120.197,37.7103
Kern,3895,-118.555527,35.70683
Tehama,225,-122.345078,40.009827
Calaveras,120,38.178241,120.679019
Calaveras,85,-120.66,38.058
"Napa, Lake",4300,-122.454,38.664
El Dorado,30,-120.703238,38.608336
Shasta,12661,-122.750788,40.4314
Yolo,6488,-122.104,38.512
Modoc,1469,-120.904,41.489
Modoc,1651,-120.79,41.89
Trinity,15,-123.24,40.41
San Diego,217,-116.576454,33.078948
Contra Costa,80,-121.5118,37.5359
Shasta,75,-121.3415,40.5719
San Luis Obispo,47,-121.0226,35.8218
Nevada,38,-121.2687,39.1871
Shasta,143,-122.2215,40.6569
Kern,1680,-118.15,35.642
Butte,72,-121.6129,39.4664
"Amador, El Dorado",4240,-120.7819,38.5691
Shasta,39736,-121.368,40.901
Modoc,13153,-121.2144,41.1336
Siskiyou,35302,-122.345,42.048
Shasta,32416,-121.562,40.72
Shasta,6258,-122.805,41.141
Siskiyou,5503,-122.127,41.682
Shasta,25,29.24,40
Madera,10,18.4,37
Madera,612,-119.6581,37.3433
Modoc,101,-121.266,41.507
Siskiyou,0,-123.374,41.796
San Diego,20,-116.89516,32.59154
Los Angeles,190,-117.771,34.235
Los Angeles,274,-117.867,34.267
Nevada,84,-120.0805,39.3918
Kern,4045,-118.4747,35.7206
Trinity,580,-122.946,40.7412
Shasta,1375,-122.171,40.7101
Tuolumne,70,-120.3434,37.8316
Humboldt,210,-123.753,41.134
Napa,27,-122.384054,38.695961
Mariposa,311,40.34,37
El Dorado,97717,-120.629714,38.805437
Siskiyou,200,-121.851,41.485
Orange,968,-117.601,33.748
Nevada,247,-120.999508,39.113682
Madera,320,-119.604124,37.311915
Siskiyou,516,-122.37432,41.42384
San Bernardino,48,-117.70643,33.93869
El Dorado,94,-120.028,38.59
El Dorado,20,-120.1140659,38.9195001
San Diego,80,-116.9454387,32.6449163
Plumas,137,-120.7016667,40.05083333
Riverside,1049,-117.642759,33.884313
Merced,275,-121.06963,37.08312
Humboldt,20,-123.8292,41.1513
Trinity,1542,-123.168,40.924
Kern,67,-120.19482,35.77937
Napa,38,-122.3415,38.5287
Amador,60,-121.135426,38.260777
Tehama,55,-122.552,40.0133
San Diego,171,-116.8534,32.9421
